,저수량(현재),전일방류량(본댐),당일유입량,홍수기,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,기온(°C),강수량(mm),지면온도(°C),습도(%),1일후강수량,2일후강수량
2001-04-06,310.25416666666666,19.3,4.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.329166666666667,0.2134146341463414,16.6375,54.833333333333336,0.171602787456446,0.1297909407665505
2001-04-07,308.9291666666667,18.4,4.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.083333333333334,0.171602787456446,18.23541666666667,60.708333333333336,0.1297909407665505,0.087979094076655
2001-04-08,307.7916666666667,20.5,4.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.3875,0.1297909407665505,21.13125,64.875,0.087979094076655,0.0461672473867595
2001-04-09,306.5125,18.9,4.5,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,16.191666666666666,0.087979094076655,21.67916666666667,59.958333333333336,0.0461672473867595,0.382466864370877
2001-04-10,305.31666666666666,18.5,4.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.75,0.0461672473867595,20.991666666666667,57.75,0.382466864370877,0.4820099255583126
2001-04-11,303.84583333333336,19.6,6.5,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.329166666666666,0.382466864370877,15.035416666666668,73.58333333333333,0.4820099255583126,0.4522332506203474
2001-04-12,301.95,25.100000000000005,1.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,8.041666666666666,0.4820099255583126,14.725,57.458333333333336,0.4522332506203474,0.4224565756823821
2001-04-13,300.0166666666667,25.7,4.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,10.504166666666666,0.4522332506203474,18.26458333333333,51.41666666666666,0.4224565756823821,0.3926799007444169
2001-04-14,298.3125,24.899999999999995,2.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.45,0.4224565756823821,20.304166666666667,45.41666666666666,0.3926799007444169,0.3629032258064515
2001-04-15,296.3541666666667,24.399999999999995,2.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.283333333333331,0.3926799007444169,20.18125,41.29166666666666,0.3629032258064515,0.3331265508684863
2001-04-16,294.55833333333334,24.3,1.6000000000000003,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.5875,0.3629032258064515,21.285416666666663,51.458333333333336,0.3331265508684863,0.3033498759305211
2001-04-17,292.28333333333336,26.0,1.5,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.941666666666668,0.3331265508684863,22.38125,54.875,0.3033498759305211,0.2735732009925558
2001-04-18,290.425,25.8,2.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,14.7375,0.3033498759305211,23.06458333333333,47.083333333333336,0.2735732009925558,0.2437965260545905
2001-04-19,288.0458333333333,26.5,3.2999999999999994,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.9,0.2735732009925558,24.2375,43.75,0.2437965260545905,0.2140198511166253
2001-04-20,285.95,30.399999999999995,1.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.845833333333331,0.2437965260545905,17.258333333333336,56.25,0.2140198511166253,0.18424317617866
2001-04-21,283.93333333333334,23.600000000000005,2.2,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.129166666666668,0.2140198511166253,18.78125,57.79166666666666,0.18424317617866,0.1544665012406948
2001-04-22,282.09166666666664,24.600000000000005,0.6999999999999998,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.2625,0.18424317617866,20.1125,57.25,0.1544665012406948,0.1246898263027295
2001-04-23,279.85,24.5,0.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.395833333333334,0.1544665012406948,22.45833333333333,55.833333333333336,0.1246898263027295,0.0949131513647642
2001-04-24,277.8666666666667,23.2,1.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,14.520833333333334,0.1246898263027295,22.791666666666668,47.79166666666666,0.0949131513647642,0.065136476426799
